NO;Tanggal;Kurs
246;9/2/2025 12:00:00 AM;16418
247;9/1/2025 12:00:00 AM;16463
248;8/29/2025 12:00:00 AM;16461
249;8/28/2025 12:00:00 AM;16356
250;8/27/2025 12:00:00 AM;16355
251;8/26/2025 12:00:00 AM;16277
252;8/25/2025 12:00:00 AM;16255
253;8/22/2025 12:00:00 AM;16340
254;8/21/2025 12:00:00 AM;16283
255;8/20/2025 12:00:00 AM;16291
256;8/19/2025 12:00:00 AM;16241
257;8/15/2025 12:00:00 AM;16162
258;8/14/2025 12:00:00 AM;16109
259;8/13/2025 12:00:00 AM;16237
260;8/12/2025 12:00:00 AM;16298
261;8/11/2025 12:00:00 AM;16253
262;8/8/2025 12:00:00 AM;16299
263;8/7/2025 12:00:00 AM;16312
264;8/6/2025 12:00:00 AM;16379
265;8/5/2025 12:00:00 AM;16388
266;8/4/2025 12:00:00 AM;16388
267;8/1/2025 12:00:00 AM;16494
268;7/31/2025 12:00:00 AM;16459
269;7/30/2025 12:00:00 AM;16387
270;7/29/2025 12:00:00 AM;16399
271;7/28/2025 12:00:00 AM;16341
272;7/25/2025 12:00:00 AM;16325
273;7/24/2025 12:00:00 AM;16283
274;7/23/2025 12:00:00 AM;16298
275;7/22/2025 12:00:00 AM;16307
276;7/21/2025 12:00:00 AM;16330
277;7/18/2025 12:00:00 AM;16301
278;7/17/2025 12:00:00 AM;16329
279;7/16/2025 12:00:00 AM;16288
280;7/15/2025 12:00:00 AM;16281
281;7/14/2025 12:00:00 AM;16247
282;7/11/2025 12:00:00 AM;16221
283;7/10/2025 12:00:00 AM;16220
284;7/9/2025 12:00:00 AM;16254
285;7/8/2025 12:00:00 AM;16238
286;7/7/2025 12:00:00 AM;16237
287;7/4/2025 12:00:00 AM;16204
288;7/3/2025 12:00:00 AM;16209
289;7/2/2025 12:00:00 AM;16236
290;7/1/2025 12:00:00 AM;16192
291;6/30/2025 12:00:00 AM;16231
292;6/26/2025 12:00:00 AM;16233
293;6/25/2025 12:00:00 AM;16292
294;6/24/2025 12:00:00 AM;16370
295;6/23/2025 12:00:00 AM;16484
296;6/20/2025 12:00:00 AM;16399
297;6/19/2025 12:00:00 AM;16378
298;6/18/2025 12:00:00 AM;16319
299;6/17/2025 12:00:00 AM;16281
300;6/16/2025 12:00:00 AM;16296
301;6/13/2025 12:00:00 AM;16293
302;6/12/2025 12:00:00 AM;16237
303;6/11/2025 12:00:00 AM;16265
304;6/10/2025 12:00:00 AM;16276
305;6/5/2025 12:00:00 AM;16277
306;6/4/2025 12:00:00 AM;16305
307;6/3/2025 12:00:00 AM;16288
308;6/2/2025 12:00:00 AM;16297
309;5/28/2025 12:00:00 AM;16300
310;5/27/2025 12:00:00 AM;16255
311;5/26/2025 12:00:00 AM;16207
312;5/23/2025 12:00:00 AM;16289
313;5/22/2025 12:00:00 AM;16313
314;5/21/2025 12:00:00 AM;16413
315;5/20/2025 12:00:00 AM;16406
316;5/19/2025 12:00:00 AM;16455
317;5/16/2025 12:00:00 AM;16424
318;5/15/2025 12:00:00 AM;16535
319;5/14/2025 12:00:00 AM;16568
320;5/9/2025 12:00:00 AM;16532
321;5/8/2025 12:00:00 AM;16497
322;5/7/2025 12:00:00 AM;16533
323;5/6/2025 12:00:00 AM;16472
324;5/5/2025 12:00:00 AM;16421
325;5/2/2025 12:00:00 AM;16493
326;4/30/2025 12:00:00 AM;16679
327;4/29/2025 12:00:00 AM;16787
328;4/28/2025 12:00:00 AM;16862
329;4/25/2025 12:00:00 AM;16829
330;4/24/2025 12:00:00 AM;16884
331;4/23/2025 12:00:00 AM;16880
332;4/22/2025 12:00:00 AM;16862
333;4/21/2025 12:00:00 AM;16808
334;4/17/2025 12:00:00 AM;16833
335;4/16/2025 12:00:00 AM;16845
336;4/15/2025 12:00:00 AM;16815
337;4/14/2025 12:00:00 AM;16773
338;4/11/2025 12:00:00 AM;16805
339;4/10/2025 12:00:00 AM;16779
340;4/9/2025 12:00:00 AM;16943
341;4/8/2025 12:00:00 AM;16849
342;3/27/2025 12:00:00 AM;16566
343;3/26/2025 12:00:00 AM;16588
344;3/25/2025 12:00:00 AM;16622
345;3/24/2025 12:00:00 AM;16561
346;3/21/2025 12:00:00 AM;16501
347;3/20/2025 12:00:00 AM;16481
348;3/19/2025 12:00:00 AM;16528
349;3/18/2025 12:00:00 AM;16432
350;3/17/2025 12:00:00 AM;16379
351;3/14/2025 12:00:00 AM;16392
352;3/13/2025 12:00:00 AM;16428
353;3/12/2025 12:00:00 AM;16453
354;3/11/2025 12:00:00 AM;16430
355;3/10/2025 12:00:00 AM;16326
356;3/7/2025 12:00:00 AM;16336
357;3/6/2025 12:00:00 AM;16315
358;3/5/2025 12:00:00 AM;16371
359;3/4/2025 12:00:00 AM;16443
360;3/3/2025 12:00:00 AM;16506
361;2/28/2025 12:00:00 AM;16575
362;2/27/2025 12:00:00 AM;16431
363;2/26/2025 12:00:00 AM;16387
364;2/25/2025 12:00:00 AM;16316
365;2/24/2025 12:00:00 AM;16303
366;2/21/2025 12:00:00 AM;16300
367;2/20/2025 12:00:00 AM;16344
368;2/19/2025 12:00:00 AM;16357
369;2/18/2025 12:00:00 AM;16275
370;2/17/2025 12:00:00 AM;16208
371;2/14/2025 12:00:00 AM;16285
372;2/13/2025 12:00:00 AM;16365
373;2/12/2025 12:00:00 AM;16364
374;2/11/2025 12:00:00 AM;16380
375;2/10/2025 12:00:00 AM;16350
376;2/7/2025 12:00:00 AM;16325
377;2/6/2025 12:00:00 AM;16330
378;2/5/2025 12:00:00 AM;16308
379;2/4/2025 12:00:00 AM;16365
380;2/3/2025 12:00:00 AM;16453
381;1/31/2025 12:00:00 AM;16312
382;1/30/2025 12:00:00 AM;16259
383;1/24/2025 12:00:00 AM;16200
384;1/23/2025 12:00:00 AM;16276
385;1/22/2025 12:00:00 AM;16327
386;1/21/2025 12:00:00 AM;16331
387;1/20/2025 12:00:00 AM;16372
388;1/17/2025 12:00:00 AM;16373
389;1/16/2025 12:00:00 AM;16378
390;1/15/2025 12:00:00 AM;16311
391;1/14/2025 12:00:00 AM;16265
392;1/13/2025 12:00:00 AM;16281
393;1/10/2025 12:00:00 AM;16194
394;1/9/2025 12:00:00 AM;16238
395;1/8/2025 12:00:00 AM;16201
396;1/7/2025 12:00:00 AM;16169
397;1/6/2025 12:00:00 AM;16193
398;1/3/2025 12:00:00 AM;16217
399;1/2/2025 12:00:00 AM;16236
400;12/31/2024 12:00:00 AM;16157
401;12/30/2024 12:00:00 AM;16162
402;12/27/2024 12:00:00 AM;16251
403;12/24/2024 12:00:00 AM;16208
404;12/23/2024 12:00:00 AM;16159
405;12/20/2024 12:00:00 AM;16270
406;12/19/2024 12:00:00 AM;16277
407;12/18/2024 12:00:00 AM;16100
408;12/17/2024 12:00:00 AM;16050
409;12/16/2024 12:00:00 AM;16019
410;12/13/2024 12:00:00 AM;15987
411;12/12/2024 12:00:00 AM;15939
412;12/11/2024 12:00:00 AM;15905
413;12/10/2024 12:00:00 AM;15874
414;12/9/2024 12:00:00 AM;15861
415;12/6/2024 12:00:00 AM;15848
416;12/5/2024 12:00:00 AM;15892
417;12/4/2024 12:00:00 AM;15957
418;12/3/2024 12:00:00 AM;15950
419;12/2/2024 12:00:00 AM;15905
420;11/29/2024 12:00:00 AM;15856
421;11/28/2024 12:00:00 AM;15864
422;11/26/2024 12:00:00 AM;15930
423;11/25/2024 12:00:00 AM;15864
424;11/22/2024 12:00:00 AM;15911
425;11/21/2024 12:00:00 AM;15942
426;11/20/2024 12:00:00 AM;15858
427;11/19/2024 12:00:00 AM;15816
428;11/18/2024 12:00:00 AM;15848
429;11/15/2024 12:00:00 AM;15888
430;11/14/2024 12:00:00 AM;15873
431;11/13/2024 12:00:00 AM;15782
432;11/12/2024 12:00:00 AM;15771
433;11/11/2024 12:00:00 AM;15677
434;11/8/2024 12:00:00 AM;15671
435;11/7/2024 12:00:00 AM;15767
436;11/6/2024 12:00:00 AM;15840
437;11/5/2024 12:00:00 AM;15766
438;11/4/2024 12:00:00 AM;15751
439;11/1/2024 12:00:00 AM;15723
440;10/31/2024 12:00:00 AM;15705
441;10/30/2024 12:00:00 AM;15732
442;10/29/2024 12:00:00 AM;15760
443;10/28/2024 12:00:00 AM;15729
444;10/25/2024 12:00:00 AM;15629
445;10/24/2024 12:00:00 AM;15593
446;10/23/2024 12:00:00 AM;15620
447;10/22/2024 12:00:00 AM;15560
448;10/21/2024 12:00:00 AM;15465
449;10/18/2024 12:00:00 AM;15466
450;10/17/2024 12:00:00 AM;15516
451;10/16/2024 12:00:00 AM;15536
452;10/15/2024 12:00:00 AM;15555
453;10/14/2024 12:00:00 AM;15581
454;10/11/2024 12:00:00 AM;15609
455;10/10/2024 12:00:00 AM;15658
456;10/9/2024 12:00:00 AM;15607
457;10/8/2024 12:00:00 AM;15671
458;10/7/2024 12:00:00 AM;15680
459;10/4/2024 12:00:00 AM;15495
460;10/3/2024 12:00:00 AM;15394
461;10/2/2024 12:00:00 AM;15247
462;10/1/2024 12:00:00 AM;15204
463;9/30/2024 12:00:00 AM;15144
464;9/27/2024 12:00:00 AM;15138
465;9/26/2024 12:00:00 AM;15171
466;9/25/2024 12:00:00 AM;15092
467;9/24/2024 12:00:00 AM;15186
468;9/23/2024 12:00:00 AM;15191
469;9/20/2024 12:00:00 AM;15100
470;9/19/2024 12:00:00 AM;15287
471;9/18/2024 12:00:00 AM;15350
472;9/17/2024 12:00:00 AM;15338
473;9/13/2024 12:00:00 AM;15405
474;9/12/2024 12:00:00 AM;15421
475;9/11/2024 12:00:00 AM;15415
476;9/10/2024 12:00:00 AM;15447
477;9/9/2024 12:00:00 AM;15446
478;9/6/2024 12:00:00 AM;15372
479;9/5/2024 12:00:00 AM;15410
480;9/4/2024 12:00:00 AM;15490
481;9/3/2024 12:00:00 AM;15557
482;9/2/2024 12:00:00 AM;15536
483;8/30/2024 12:00:00 AM;15473
484;8/29/2024 12:00:00 AM;15409
485;8/28/2024 12:00:00 AM;15476
486;8/27/2024 12:00:00 AM;15509
487;8/26/2024 12:00:00 AM;15380
488;8/23/2024 12:00:00 AM;15554
489;8/22/2024 12:00:00 AM;15579
490;8/21/2024 12:00:00 AM;15456
491;8/20/2024 12:00:00 AM;15480
492;8/19/2024 12:00:00 AM;15591
493;8/16/2024 12:00:00 AM;15716
494;8/15/2024 12:00:00 AM;15687
495;8/14/2024 12:00:00 AM;15691
496;8/13/2024 12:00:00 AM;15885
497;8/12/2024 12:00:00 AM;15963
498;8/9/2024 12:00:00 AM;15914
499;8/8/2024 12:00:00 AM;15952
500;8/7/2024 12:00:00 AM;16100
501;8/6/2024 12:00:00 AM;16183
502;8/5/2024 12:00:00 AM;16154
503;8/2/2024 12:00:00 AM;16234
504;8/1/2024 12:00:00 AM;16243
505;7/31/2024 12:00:00 AM;16294
506;7/30/2024 12:00:00 AM;16320
507;7/29/2024 12:00:00 AM;16286
508;7/26/2024 12:00:00 AM;16294
509;7/25/2024 12:00:00 AM;16268
510;7/24/2024 12:00:00 AM;16224
511;7/23/2024 12:00:00 AM;16204
512;7/22/2024 12:00:00 AM;16228
513;7/19/2024 12:00:00 AM;16199
514;7/18/2024 12:00:00 AM;16160
515;7/17/2024 12:00:00 AM;16129
516;7/16/2024 12:00:00 AM;16203
517;7/15/2024 12:00:00 AM;16174
518;7/12/2024 12:00:00 AM;16154
519;7/11/2024 12:00:00 AM;16200
520;7/10/2024 12:00:00 AM;16256
521;7/9/2024 12:00:00 AM;16281
522;7/8/2024 12:00:00 AM;16265
523;7/5/2024 12:00:00 AM;16312
524;7/4/2024 12:00:00 AM;16341
525;7/3/2024 12:00:00 AM;16387
526;7/2/2024 12:00:00 AM;16384
527;7/1/2024 12:00:00 AM;16355
528;6/28/2024 12:00:00 AM;16394
529;6/27/2024 12:00:00 AM;16421
